index,title,category,current_funding_amount,percentage,target_funding_amount,supporter,result,match_cnt,fold
54,"'왕따', 우리 모두는 가해자가 될 수 있다",음악,390000,16,2437500,8명,0,1,5
55,저희의 예술성을 알려주세요 서울오케스트라 X 프로젝트 아더,잡화,749000,37,2024300,7명,0,0,3
56,20살 졸라맨 기념주화 뱃지 제작,캐릭터 · 굿즈,114000,11,1036300,6명,0,0,4
57,내 고양이의 귀여움을 기록하는 노트 <귀여운 내 고양이>,디자인,308000,44,700000,17명,0,0,2
58,[네코장] 핑크빈의 일상 피규어,캐릭터 · 굿즈,225000,22,1022700,5명,0,0,5
59,전통문양 문창살 실버&가죽 팔찌,잡화,180000,36,500000,2명,0,0,3
60,콩냥콩냥 뱃지,캐릭터 · 굿즈,1142800,57,2004900,57명,0,0,2
61,Toast it! 빵덕후들을 위한 필수템,캐릭터 · 굿즈,156000,7,2228500,6명,0,0,1
62,우리집 고양이 소리를 녹음/재생할 수 있는 <부르냥 키링>,잡화,401000,2,20050000,17명,0,0,1
63,"우리 막내, 꽃길 뱃지와 꿈 뱃지",캐릭터 · 굿즈,159000,6,2650000,7명,0,1,5
64,"윤리적 소비를 실현시키는 공정무역 스티커, 뱃지",잡화,5000,0,0,1명,0,1,2
65,"찐찐 만두, 만두토끼 인형",캐릭터 · 굿즈,1153000,46,2506500,27명,0,1,3
66,하나되는 대한민국,잡화,57000,3,1900000,4명,0,0,5
67,<모든 글쓰기> 온라인 강의,출판,30000,3,1000000,1명,0,0,3
68,마법과 마녀의 이야기 <마녀의 비밀일기>,출판,2224500,63,3530900,100명,0,0,2
69,"유관순열사 뱃지, ""대한 독립 만세""",캐릭터 · 굿즈,96000,24,400000,10명,0,1,1
70,웹툰 스케치업 얼굴 표정,웹툰 리소스,130000,13,1000000,3명,0,0,2
71,자막없이 미드를 보고 싶어?《미드 속 영어표현》을 배워봐!,출판,316700,63,502600,26명,0,0,3
72,빛나는 우리말 반지 [두번째],주얼리,791500,79,1001800,14명,0,0,1
73,스케치업 웹툰 소품 - 안경,웹툰 리소스,235500,23,1023900,7명,0,0,2
74,[디즈니 정품] 토이스토리 체인 핀뱃지,캐릭터 · 굿즈,522000,26,2007600,13명,0,0,3
75,초보를 위한 변형짧은뜨기 '쉼표 목도리',잡화,80000,20,400000,2명,0,0,4
76,"데노메 & 단춤과 함께하는 빵 배달, 브레드백",잡화,105000,10,1050000,2명,0,1,2
77,"thanks to you, Jane",캐릭터 · 굿즈,123000,4,3075000,2명,0,1,4
78,"'미스터G 앤 팬더' 모찌 인형, 키링",캐릭터 · 굿즈,580000,48,1208300,28명,0,1,1
79,웹툰 <테러맨> 공식 굿즈,웹툰 · 만화,3420000,13,26307600,44명,0,0,3
80,다정한 일러스트 머그컵:외롭지 않은 겨울을 위하여,홈 · 리빙,73000,7,1042800,3명,0,0,2
81,멕시코 화가를 주제로 한 창작극,공연,205000,41,500000,9명,0,0,4
82,별 하나에 어머니,출판,2707000,90,3007700,16명,0,0,1
83,"[키링,노방백] 한여름에도 싱그러운 플라워 노방백",잡화,478000,95,503100,14명,0,1,3
84,"아티스트들이 만드는 핸드폰 케이스, '아티펑크'",잡화,80000,16,500000,2명,0,1,2
85,희망의 매리 메리 크리스마스,잡화,711500,35,2032800,44명,0,0,2
86,당신의 애버리지를 높여줄 어벤져스가 왔다!,출판,760000,76,1000000,29명,0,0,5
87,심플함과 고귀함 `Cross BallCap`,잡화,168000,8,2100000,4명,0,0,4
88,"위로, 괴로움을 씻어주고 마음을 즐겁게 함",출판,634000,31,2045100,21명,0,1,5
89,"플라스틱, 비닐 사용 줄이기 캠페인_뱃지 & 에코백",캐릭터 · 굿즈,739000,49,1508100,42명,0,1,4
90,유튜버 커뮤니티 사이트,테크 · 가전,1000,0,0,1명,0,0,2
91,"마음이 쌀쌀할 땐, 국밥 한그릇 뱃지",캐릭터 · 굿즈,262000,29,903400,20명,0,1,3
92,"별거없는헌법 별일없는우리, 편하게 누워서 보는 헌법 책",출판,888000,42,2114200,34명,0,1,1
93,단 하나뿐인 당신의 스터디 파트너- ‘공양미 플래너’,출판,633959,57,1112200,34명,0,0,5
94,탐테 (Tamte) - 페스티벌 실시간 라인업 알림앱,테크 · 가전,645000,25,2580000,10명,0,0,4
95,"3월의 봄을 담은, 여명의 결정 뱃지와 주얼리트레이",캐릭터 · 굿즈,782000,43,1818600,37명,0,1,3
96,"지지않고 피어나는 꽃처럼, jewelry garden",주얼리,172000,34,505800,4명,0,1,2
97,"남성향 수인 연애 시뮬레이션 '그리고, 다시 봄'",디지털 게임,983000,39,2520500,18명,0,1,4
98,‘여름은 무지개빛’ 텀블러백,잡화,413000,41,1007300,23명,0,0,2
99,"후회 없는 소비를 위한 ""감정 비용 노트""",디자인,236000,33,715100,18명,0,0,5
100,국가순위만 알아도 당신은 똑똑 대장,출판,321000,64,501500,24명,0,0,4
101,몰아서 하는 효도; 어버이날 선물 카네이션 올인원 세트,홈 · 리빙,388000,7,5542800,17명,0,0,4
102,투명함; 당신의 색으로 채우기를,잡화,16500,0,0,2명,0,0,3
103,[연극] 환경을 사랑하는 북극곰과 책 속 여행을 떠나요!,공연,300000,6,5000000,1명,0,0,1
104,종이와 글(=Book)의 가치를 아는분과 함께하는 독서굿즈,캐릭터 · 굿즈,228000,6,3800000,9명,0,0,2
105,"반려동물과의 추억을 담는 드로잉북, <반려동물 다이어리>",출판,717000,39,1838400,29명,0,1,5
106,동주 뱃지 ; 시인 윤동주를 새기다,캐릭터 · 굿즈,187000,37,505400,14명,0,0,2
107,크리스마스 준비는 내손에서 시작되었다. '눈꽃향초' DIY,홈 · 리빙,178000,17,1047000,8명,0,0,3
108,환경을 생각하는 마음을 담아 만든 선인장 카드지갑 칵토,잡화,1804800,59,3058900,23명,0,0,3
109,이별 일러스트 <우리의 시간은 조금 다르다>,예술,0,0,0,0명,0,0,2
110,"고양이 발 젤리, 하루종일 만지자!",예술,172000,34,505800,12명,0,1,2
111,아... 오늘따라 「그곳에 두고 온 두루마기 생각난다」,출판,748000,24,3116600,17명,0,0,5
112,"안녕, 동물원 : 동물원 속 동물을 울타리 밖으로!",캐릭터 · 굿즈,368000,46,800000,30명,0,1,5
113,'페이퍼 프로젝트' 페미니즘 명언 캘리그라피 굿즈,캐릭터 · 굿즈,1809000,90,2010000,25명,0,0,4
114,"코로나 시대, 모두가 기다리던 <나의 첫 필사노트>의 부활",출판,766000,38,2015700,18명,0,1,2
115,커넥티드 북페어 2021 - 릴레이 북 v2,출판,164000,27,607400,4명,0,0,2
116,폭신폭신 쿼카 우기 노트북파우치,잡화,1154000,12,9616600,31명,0,0,2
117,카드 수집형 RPG 'Epic Of Elysium',디지털 게임,105000,1,10500000,4명,0,0,1
118,"아무도 모르게 티내고 싶은 커플링 ""자세히 보아야 사랑꾼""",홈 · 리빙,0,0,0,0명,0,0,2
119,따뜻하게 해줄게; 코듀로이 떡볶이 크로스백,잡화,192000,19,1010500,4명,0,0,2
120,원목 트레이로 식탁을 요리하자~,홈 · 리빙,0,0,0,0명,0,0,2
121,초딩도 멋있게 입자구요! 아이가 먼저 찾는 옷과 모자,의류,74400,14,531400,1명,0,0,2
122,"매력 뿜뿜, 앵무 캐릭터 굿즈",잡화,118500,23,515200,4명,0,1,1
123,시간을 줄이고 효율은 높여줄 3D 헤드 어시스트 모델,웹툰 리소스,1242000,82,1514600,12명,0,0,2
124,"2017 장미대선, 스페이스정글이 함께 합니다!",예술,548000,18,3044400,20명,0,1,2
125,학교에서 펼쳐지는 어반판타지! 여성향 추리게임 <비포다운>,디지털 게임,7234000,72,10047200,111명,0,0,3
126,나를 위한 휴가 <교토의 여름>,의류,676000,33,2048400,7명,0,0,1
127,"브라이덜샤워를 위한 조금 특별한 파티키트, '오킷'",홈 · 리빙,373500,22,1697700,9명,0,1,3
128,한글나라 캐릭터 디자인 굿즈,캐릭터 · 굿즈,44000,4,1100000,3명,0,0,4
129,꼬옥 안아주고 싶은 먀옹이 쿠션,웹툰 · 만화,5189000,61,8506500,121명,0,0,5
130,"마다가스카르 그림책 '안녕, 마다가스카르!'",출판,1269500,50,2539000,38명,0,1,5
131,WITH YOU_당신은 혼자가 아닙니다. 함께합니다,캐릭터 · 굿즈,339000,26,1303800,20명,0,0,4
132,"지친 나를 위한 작은 위로. 수고했어, 오늘도.",캐릭터 · 굿즈,78500,15,523300,9명,0,1,3
133,[커버노트] 건설 소재의 재해석 3탄,디자인 문구,2378000,47,5059500,100명,0,0,4
134,퀴어프렌들한 카페 사르르녹다,디자인,81000,8,1012500,6명,0,0,5
135,이성편/감성편으로 구성된 다이어리세트 [냉정과 열정사이],디자인 문구,335000,11,3045400,14명,0,0,3
136,"새로운 하루를 위한 , 새로운 타월",홈 · 리빙,8000,0,0,1명,0,1,5
137,[유기동물 뱃지]시린 이 겨울 따뜻한 밤하늘을 선물해주세요,잡화,641000,32,2003100,43명,0,0,1
138,"인생 숙제, 나의 죽음 준비 프로젝트 [메멘토모리]",출판,53000,5,1060000,4명,0,1,4
139,"손 안의 작은 조약돌, 페블 그립톡",캐릭터 · 굿즈,436300,87,501400,10명,0,1,5
140,『좋아하는 일을 해도 우울할 때』 삽화 에세이 ebook,출판,40000,4,1000000,2명,0,0,5
141,조동우 연출작 - [옆집에 간첩이 산다.],영화 · 비디오,230000,23,1000000,6명,0,0,3
142,"찰나의 순간 , 쨍 하게 나를 빛내 줄 <봄 치마>",의류,5015000,50,10030000,50명,0,1,2
143,보기만 해도 심쿵! 꾸르미와 꼬래 모찌쿠션,캐릭터 · 굿즈,267700,5,5354000,9명,0,0,4
144,스케치업 웹툰 배경 - 중세 산골마을/판타지,웹툰 리소스,420000,42,1000000,14명,0,0,5
145,편안하고 자연스러운 조끼형브라 '꿈브라',의류,1142000,78,1464100,18명,0,0,4
146,백화점에서 줄서서 먹던 스콘의 친환경 B대면 DIY 키트,푸드,275000,27,1018500,16명,0,0,1
147,'해마’와 ‘날개하늘나리’에게 내일을 선물해 주세요.,홈 · 리빙,1459000,97,1504100,54명,0,0,4
148,"모른다면 생존할 수 없다 ""주식 투자 숨겨진 5가지 원칙""",출판,187000,37,505400,14명,0,0,4
149,웹툰과 일러스트를 위한 꽃브러쉬,웹툰 리소스,49651500,4965,500000,1659,1,0,1
150,오디오웹툰으로 만나는 <고래별_경성의 인어공주> 시즌2,웹툰 · 만화,347353000,267,500000,1712,1,0,3
151,꼬마마법사 레미 공식 한정판 굿즈,영화 · 비디오,74329000,247,500000,979,1,0,4
152,만화가의 금융에세이 <자산소득으로 생활하기 프로젝트>,출판,12830500,366,500000,471,1,0,2
153,"당신을 지켜주는 영물, '메롱해치 자수 KIT'",홈 · 리빙,7777000,777,500000,298,1,1,2
154,파댕이가 돌아와따 ! [흑우 파댕이 인형],캐릭터 · 굿즈,36523000,456,500000,683,1,0,5
155,"코디 걱정 없이 편하게, '나봄 저고리 셔츠&허리치마'",의류,85799000,8579,500000,624,1,1,3
156,[스케치업] 로판 일러스트를 위한 평민들의 거리,웹툰 리소스,34548000,1727,500000,261,1,0,4
157,죽음을 연습하는 200가지 질문 -『질문의 죽음』,출판,3822000,318,500000,226,1,0,1
158,로맨스 판타지 웹툰에 도움이 되는 엑스트라 브러쉬,웹툰 리소스,49309000,2465,500000,531,1,0,3
159,"혼자하는 담력시험, 공포게임『Last Light』",디지털 게임,14010000,280,500000,493,1,1,5
160,[AAF] 50인의 아티스트가 해석한 <식물 합작 아트북>,출판,23092333,209,500000,268,1,0,2
161,오스카 와일드 <행복한 왕자> 1888년 초판 복원,출판,8298000,276,500000,395,1,0,3
162,변호사가 알려주는 성폭력 피해자를 위한 법률가이드,출판,4912000,982,500000,251,1,0,4
163,"웹툰, 일러스트를 위한 100종류의 다양한 문양들",웹툰 리소스,4914000,982,500000,223,1,1,3
164,[지갑송 장편소설] <소설 속 엑스트라 큐브 편> 애장판,출판,26742000,106,500000,152,1,0,4
165,매일 3분 라인이 살아나는 습관,출판,5046000,504,500000,133,1,0,3
166,"내 손으로 하이드를 깨우다, 지킬 투 하이드 잉크",디자인 문구,34047000,3404,500000,703,1,1,1
167,목격자의 진술로 사건을 해결하는 추리 게임 [미제 사건],보드게임 · TRPG,15207000,304,500000,327,1,0,3
168,[CachiBag]물과 햇빛 그리고 선인장으로 빚은 가치백,잡화,32778000,409,500000,193,1,0,1
169,시간을 담은 포스터 만화책 <MEMO> 출간,웹툰 · 만화,3684000,184,500000,111,1,0,1
170,"식물이 있는 우리, 타이페이식물원",출판,3842500,109,500000,85,1,1,1
171,길몽 팔아서 1억을 번다고요? 한국형 판타지 소설 <옥토>,출판,4040000,808,500000,183,1,0,1
172,"우주만큼 복잡한 내 감정 찾기, 코스믹 마인드 오로라 카드",디자인,15203000,337,500000,546,1,1,1
173,"영롱한 펄과 함께 동화 속으로 초대할게요, 밀크웨이 입욕제",향수 · 뷰티,18002500,3600,500000,446,1,1,4
174,혹시 나도 탈모인가? 걱정한적 있다면! 헤막안티헤어로스샴푸,향수 · 뷰티,7307900,146,500000,167,1,0,2
175,"스케치업 해안마을과 소방차, 이삿짐차",웹툰 리소스,13925000,1392,500000,262,1,1,2
176,지구 멸망을 앞둔 두 여자의 사랑 소설 <멸망의 감정>,출판,3850000,192,500000,174,1,0,1
177,66100 2020 브라렛,의류,11615200,116,500000,171,1,0,4
178,30종의 비인간 존재가 되어보는 <상괭이와 춤을> 키트,보드게임 · TRPG,6392000,127,500000,136,1,0,5
179,맥베스의 향기를 찾았다 <넵튠과 아포리아>,향수 · 뷰티,5728000,636,500000,131,1,0,2
180,[RE:PLA] 쓰레기도 줄여주고 플라스틱 업사이클까지??,홈 · 리빙,5451200,545,500000,231,1,0,1
181,웹툰&일러스트에 활용하기 좋은 <헤일로(후광)>소재,웹툰 리소스,11918000,1191,500000,316,1,0,2
182,나의 졸업을 막으려는 누군가가 있다? [공포의 조별과제],보드게임 · TRPG,7687700,109,500000,169,1,0,4
183,대체 불가한 독보적인 컬러의 아티스트 프롬 LP 발매,음악,28807000,960,500000,529,1,0,1
184,내년의 우린 좀 더 평안하고 행복하길 <차와향 리추얼키트>,푸드,3793000,379,500000,38,1,0,3
185,"사랑을 다룬 단편선, <기묘한 사랑에 관한 보고서>",웹툰 · 만화,3072000,438,500000,136,1,1,5
186,"강원의 겨울산 모습을 닮은 세미 커스터마이징 가방, 산산백",잡화,8523500,852,500000,102,1,1,2
187,"서사의 주인공을 맡아보세요, 짙은 여운을 머금은 북퍼품",향수 · 뷰티,6369000,212,500000,124,1,1,3
188,녹차 없는 녹차는 그만! 설탕 없이 달달한 달콤 아몬드녹차,푸드,3300000,660,500000,93,1,0,2
189,따듯한 햇살의 포근함을 드려요 [ 안전한 섬유 탈취제 ],향수 · 뷰티,5369000,1073,500000,94,1,0,1
190,폐플라스틱의 재탄생! 따뜻한 플라삭스,잡화,1177800,235,500000,52,1,0,2
191,윌리엄 모리스가 말하는 『아름다움을 만드는 일』,출판,3278000,163,500000,103,1,0,3
192,서울대생이 만든 공부습관 형성 플래너 & 뉴스레터,출판,1533590,306,500000,85,1,0,2
193,인생의 향기가 궁금할 때 <6가지 여정의 향>,향수 · 뷰티,3018900,603,500000,122,1,0,3
194,극단 '공백' 2021 창작뮤지컬 [레테의 정원],공연,5057000,101,500000,69,1,0,1
195,"믿을 수 있는 건 무엇인가요?, 단편영화 <침묵>",영화 · 비디오,1238332,103,500000,39,1,1,4
196,지구돌봄을 위한 유쾌한 탐험! 생태놀이판 <토킹어스>,보드게임 · TRPG,1798000,359,500000,29,1,0,2
197,할머니 할아버지를 위한 놀이책 <월간 실버>,출판,1739000,289,500000,129,1,0,4
198,"달빛을 머금은 도자기, 월백 균요",홈 · 리빙,2587000,258,500000,33,1,1,2
199,연필스케치 컬러링 북 '널 위해 핀 꽃',출판,2362000,118,500000,74,1,0,5
200,[시간 탐험집] 나와 당신의 서른 즈음에,출판,2542000,195,500000,87,1,0,2
201,"크레용으로 그린, 따스한 공간이 담긴 2021년 패브릭달력",디자인 문구,575000,191,500000,20,1,1,3
202,2022 나만의 색으로 채우는 ColorFill Diary,디자인 문구,2545000,127,500000,47,1,0,3
203,Band 'WILLY' 첫 EP앨범 제작,음악,3694000,147,500000,76,1,0,5
204,"색다른 그림책, 색 상상책 1편",출판,3775000,188,500000,78,1,1,5
205,"미세먼지 거두고 예쁜 도시로, 보드게임 '더스트 플래닛'",보드게임 · TRPG,4122000,103,500000,83,1,1,1
206,[스케치업] 화려하고 실용적인 로판 호텔공간9종+기차,웹툰 리소스,5346000,534,500000,92,1,0,1
207,"물 위에 뜬 자연, 제주의 잔영(殘影)이 그린 사진집",사진,2051000,102,500000,70,1,1,2
208,"우리들의 여행을 지키기 위해, TMT travel set",잡화,3350100,670,500000,66,1,1,1
209,[보람줄] 웹툰배경#4 회사로비 & 사무실,웹툰 리소스,1500000,150,500000,25,1,0,3
210,당신이 찾아 헤매던 <하이틴 디지털 스티커>,디자인,416000,138,500000,24,1,0,5
211,"나는 향으로 행복해질래요 , 천연 블렌딩 오일",홈 · 리빙,1132200,113,500000,26,1,1,5
212,돈패닉서울의 아트워크가 영원히 기억되길 바라며 - 패닉버튼,예술,20389000,101,500000,25,1,0,4
213,"진리의 세상: 어디에나 있지만, 어디에도 없는 아트 오브제",예술,1328800,132,500000,44,1,1,4
214,"가르쳐줄게, 네가 원하는 그 향수. ""멜팅포션 프로젝트""",향수 · 뷰티,4874000,974,500000,66,1,1,2
215,비밀토끼×밀크크림치즈가 만든 그림책 '한낮의 꿈',출판,1591600,159,500000,61,1,0,1
216,당신이 입은 옷은 누구인가요? 단편영화 <허물>,영화 · 비디오,1179000,147,500000,46,1,0,1
217,가산디지털단지역,웹툰 리소스,6722000,672,500000,73,1,0,3
218,"액션, 판타지 서양 무기 3d 소재 (웹툰, 일러스트)",웹툰 리소스,2485000,248,500000,77,1,2,2
219,당신의 내일을 응원합니다. <어쩌면 이건 너의 내일>,출판,2674000,106,500000,71,1,0,2
220,"창작곡 ""독도의 사계"" 서울 예술의전당 콘서트홀 실황 음반",음악,10075000,100,500000,91,1,0,1
221,코넛(Conut)의 EP <코코넛 블루스>,음악,5371000,107,500000,62,1,0,3
222,[스케치업 배경] 클래식한 디자인의 호텔 세트!,웹툰 리소스,2635000,263,500000,64,1,0,5
223,Ep.01 앙리마티스의 선과 색 [석고판 & 아로마오일],홈 · 리빙,1266000,126,500000,18,1,0,4
224,여러분 잘 먹고 있나요? 메모지 3종 세트,디자인 문구,545100,109,500000,21,1,0,4
225,송용창 4집 [향연],음악,3138500,104,500000,23,1,0,5
226,"봄을 기다리며 촛불로 꽃을 피웁니다, 캔들 홀더 '목련'",예술,718000,102,500000,13,1,1,3
227,ROHCHUI의 첫번째 프로젝트 드로잉 작품을 입는다.,의류,1526000,305,500000,26,1,0,2
228,단편영화 doubter 후반작업,영화 · 비디오,4005000,100,500000,27,1,0,2
229,닳도록 사랑했던 곰돌이,주얼리,1488000,297,500000,10,1,0,2
230,"팥죽 하면 동지, 절기 놀이 프로젝트 24절기 패키지",보드게임 · TRPG,833500,166,500000,23,1,1,1
231,미래형 실험도시 건설 보드게임 '이노리즈: ENOREZ',보드게임 · TRPG,5689000,162,500000,95,1,0,4
232,해체주의 호러 큐티 펑크 시집 <무서운 집>,출판,1477000,152,500000,81,1,0,2
233,"귀여운 ""벚꽃소녀""의 2021 탁상달력",디자인 문구,454000,151,500000,20,1,0,1
234,나만 강아지 없어! 2021 멍멍 패브릭 캘린더 분양중,디자인 문구,1417000,141,500000,34,1,0,2
235,갓 발효된 반죽 캐릭터 땡글이 데려가주세요!!,캐릭터 · 굿즈,2502000,125,500000,65,1,0,5
236,"포근하고 돋보이는 겨울 룩, 귀여운 유니크 양털자켓",의류,1736000,115,500000,26,1,1,3
237,"평범해서 특별한, 보통의 파주 청년들의 <보통의 내일들>",출판,2160000,108,500000,75,1,1,3
238,어린 시절 기억 속으로 떠나는 심리여행_초기기억 강점 찾기,출판,3197500,106,500000,22,1,0,2
239,처음 만나는 더 쉽고 편해진 생리디스크 <Poicup>,홈 · 리빙,200684000,2006,500000,5883,1,0,1
240,"잃어버린 상상력을 찾아, <코끼리를 삼킨 보아뱀 은반지>",주얼리,60177900,12035,500000,1403,1,1,4
241,"쉽게 쓰는 소설, 지금 써봐요! TRY TO WRITE!",출판,20808500,4161,500000,1149,1,1,3
242,명탐정코난-Hello Mr.My Yesterday 앨범발매,영화 · 비디오,65955000,188,500000,1175,1,0,1
243,"Flower Shower, 꽃물에 샤워하고 나온듯한 살냄새",향수 · 뷰티,17729000,1772,500000,466,1,1,4
244,우리나라 역사 속에 살아 있는 <신령한 동식물 이야기>,출판,23966000,479,500000,953,1,0,3
245,아이패드 활용성을 높여주는 '올인원 디지털 노트 101',디자인 문구,14549500,2424,500000,642,1,0,1
246,지구환경보고서 <석탄아틀라스>한국어판 출간,출판,3790000,252,500000,152,1,0,3
247,"도깨비와 요괴, 신화에 관한 이야기 <동양 환상전>",출판,22231000,370,500000,833,1,1,1
248,'비비안 마이어' 포토 포스터 북,출판,9469300,473,500000,337,1,0,2
249,2022년을 물고 온 호롱이,디자인 문구,4643300,580,500000,142,1,0,5
250,익명으로 고민을 보내면 손편지 답장이 오는 동화같은 이야기,출판,27463000,2746,500000,1445,1,0,3
251,11회 광주여성영화제 ZERO,영화 · 비디오,6086500,152,500000,199,1,0,2
252,킹스우드: 론델 시스템의 치열한 수 싸움 게임!,보드게임 · TRPG,11195000,223,500000,213,1,0,1
253,티 전문가 '큐앤리브즈' 세젤맛 밀크티 4탄! TEA시럽,푸드,10214000,2042,500000,307,1,0,3
254,[박스학 개론] 실무에서 바로 사용하는 박스 가이드,출판,21116500,703,500000,366,1,0,4
255,"전설 속 다섯인어가 보내온 편지와, 천연원석 쥬얼리",주얼리,12972000,1297,500000,197,1,1,5
256,"선을 넘는 영화제, GUJIFF 상영회 <점, 선, 면>",영화 · 비디오,2251256,173,500000,123,1,3,4
257,소중한기억이 아스라이 찾아올때 <까만별이 찾아온날>,출판,3955000,158,500000,171,1,0,2
258,한글 타이포그래피 구독 서비스 홈페이지 제작,디자인,9137000,304,500000,126,1,0,2
